epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.571,2.05238,6.7982,1.49871,0,0,0,0,2.83959,7.60071,1.71105,8.75e-05,8.75e-05,8.75e-05
2,177.137,1.58131,5.34306,1.07702,0,0,0,0,1.97529,5.99332,1.1793,0.000168938,0.000168938,0.000168938
3,265.929,1.56599,4.31314,1.04021,0.0005,0.01587,0.00027,4e-05,2.01363,5.81928,1.12015,0.000230575,0.000230575,0.000230575
4,354.171,1.53733,3.66512,1.06425,0.00027,0.02717,0.00038,5e-05,1.97302,5.61405,1.08596,0.000272412,0.000272412,0.000272412
5,441.652,1.46765,3.31498,1.10425,0.00046,0.03989,0.00028,4e-05,1.90904,5.41346,1.05328,0.00029445,0.00029445,0.00029445
6,529.165,1.38186,2.98481,1.04554,0.00037,0.03498,0.00023,5e-05,1.96563,5.34441,1.05652,0.000296688,0.000296688,0.000296688
7,616.843,1.46753,2.86904,1.05218,0.0001,0.01786,7e-05,2e-05,1.82985,5.20459,1.01894,0.000279125,0.000279125,0.000279125
8,703.31,1.38675,2.69857,1.0066,0.00048,0.03661,0.00242,0.00152,1.88896,5.13064,1.02321,0.000241763,0.000241763,0.000241763
9,790.111,1.34211,2.53165,0.99361,0.00409,0.13172,0.0598,0.02873,1.91272,4.99204,1.03648,0.0001846,0.0001846,0.0001846
10,876.985,1.32228,2.2836,0.99013,0.00606,0.23453,0.1255,0.06782,1.90516,4.88692,1.04458,0.000107637,0.000107637,0.000107637
